ID,Sex,Regions,Periods,PopulationOn1January_1,PopulationOn31December_20
34799,T001038,GM0415,2019JJ00,11488.0,11491.0
34979,T001038,GM0416,2019JJ00,27992.0,28163.0
35219,T001038,GM0417,2019JJ00,11195.0,11280.0
39299,T001038,GM0420,2019JJ00,44809.0,45101.0
42175,T001038,GM0424,2015JJ00,6249.0,6202.0
42415,T001038,GM0425,2015JJ00,17209.0,17397.0
48239,T001038,GM0431,2019JJ00,9757.0,9735.0
48539,T001038,GM0432,2019JJ00,11779.0,11836.0
49679,T001038,GM0437,2019JJ00,13916.0,14026.0
51299,T001038,GM0439,2019JJ00,80117.0,81249.0
54899,T001038,GM0441,2019JJ00,46553.0,46483.0
60779,T001038,GM0448,2019JJ00,13547.0,13575.0
61919,T001038,GM0450,2019JJ00,13528.0,13666.0
61979,T001038,GM0451,2019JJ00,29424.0,29478.0
63539,T001038,GM0453,2019JJ00,68348.0,68648.0
67079,T001038,GM0457,2019JJ00,19334.0,19738.0
71699,T001038,GM0473,2019JJ00,17011.0,17116.0
71875,T001038,GM0478,2015JJ00,6306.0,6241.0
71519,T001038,GM0479,2019JJ00,155885.0,156794.0
4379,T001038,GM0482,2019JJ00,20069.0,20165.0
4799,T001038,GM0484,2019JJ00,110986.0,111897.0
7439,T001038,GM0489,2019JJ00,48673.0,48714.0
16799,T001038,GM0498,2019JJ00,19597.0,19719.0
13079,T001038,GM0501,2019JJ00,17182.0,17271.0
14219,T001038,GM0502,2019JJ00,66818.0,67122.0
15179,T001038,GM0503,2019JJ00,103163.0,103595.0
16739,T001038,GM0505,2019JJ00,118654.0,119284.0
22559,T001038,GM0512,2019JJ00,36682.0,37022.0
22679,T001038,GM0513,2019JJ00,73181.0,73427.0
23459,T001038,GM0518,2019JJ00,537833.0,545838.0
25499,T001038,GM0523,2019JJ00,18051.0,18295.0
28019,T001038,GM0530,2019JJ00,40049.0,40142.0
28259,T001038,GM0531,2019JJ00,30966.0,31202.0
59159,T001038,GM0532,2019JJ00,21706.0,21726.0
29159,T001038,GM0534,2019JJ00,21966.0,22209.0
32699,T001038,GM0537,2019JJ00,65302.0,65753.0
34259,T001038,GM0542,2019JJ00,29376.0,29526.0
35518,T001038,GM0545,2018JJ00,21030.0,21248.0
35759,T001038,GM0546,2019JJ00,124899.0,125099.0
35819,T001038,GM0547,2019JJ00,27109.0,27056.0
37199,T001038,GM0553,2019JJ00,22800.0,22955.0
38639,T001038,GM0556,2019JJ00,32768.0,33213.0
43739,T001038,GM0569,2019JJ00,28628.0,28811.0
45539,T001038,GM0575,2019JJ00,42859.0,43508.0
45598,T001038,GM0576,2018JJ00,16605.0,16685.0
46379,T001038,GM0579,2019JJ00,24426.0,24840.0
49138,T001038,GM0584,2018JJ00,24301.0,24403.0
10858,T001038,GM0585,2018JJ00,29098.0,29292.0
33838,T001038,GM0588,2018JJ00,11097.0,11269.0
49919,T001038,GM0589,2019JJ00,10201.0,10230.0
50519,T001038,GM0590,2019JJ00,32290.0,32136.0
52499,T001038,GM0597,2019JJ00,46241.0,46189.0
54239,T001038,GM0599,2019JJ00,644618.0,651168.0
53279,T001038,GM0603,2019JJ00,53467.0,54450.0
55559,T001038,GM0606,2019JJ00,77999.0,78730.0
57659,T001038,GM0610,2019JJ00,25026.0,25220.0
14638,T001038,GM0611,2018JJ00,12826.0,12916.0
4439,T001038,GM0613,2019JJ00,25271.0,25590.0
68519,T001038,GM0614,2019JJ00,14626.0,14731.0
60178,T001038,GM0617,2018JJ00,8793.0,8776.0
63838,T001038,GM0620,2018JJ00,19967.0,20444.0
64139,T001038,GM0622,2019JJ00,72404.0,73397.0
64979,T001038,GM0626,2019JJ00,25479.0,25596.0
65939,T001038,GM0627,2019JJ00,28316.0,29291.0
